phase,dimension,group,rows,hours,groups,parakeet_words,parakeet_errors,parakeet_substitutions,parakeet_deletions,parakeet_insertions,parakeet_chars,parakeet_char_errors,parakeet_utterance_error,parakeet_wer,parakeet_cer,parakeet_utterance_error_rate,orukeet_words,orukeet_errors,orukeet_substitutions,orukeet_deletions,orukeet_insertions,orukeet_chars,orukeet_char_errors,orukeet_utterance_error,orukeet_wer,orukeet_cer,orukeet_utterance_error_rate
coverage,accent,Fyn,5917,8.544813333333334,6,57649,16501,8961,6895,645,310041,48213,4530,28.623219830352653,15.550523962959737,76.55906709481155,57649,15974,8663,6591,720,310041,48505,4494,27.709066939582648,15.64470505513787,75.95065066756803
coverage,accent,None,8149,23.58626699652778,,196880,19053,11325,4864,2864,1292864,60966,5423,9.677468508736286,4.715577199148557,66.54804270462634,196880,18598,11036,4775,2787,1292864,59701,5357,9.44636326696465,4.617732414236919,65.73812737759235
coverage,accent,Nordjylland,5916,8.143706666666667,6,57661,17280,9954,6413,913,309492,51405,4716,29.96826277726713,16.609476173859097,79.71602434077079,57661,16594,9586,6041,967,309492,50779,4676,28.778550493401085,16.407209233195044,79.03989181879649
coverage,accent,Storkøbenhavn,19711,27.77645111111111,20,192031,58784,33285,22698,2801,1033813,173378,15737,30.611724148705157,16.77073126377788,79.83866876363452,192031,57669,32584,22046,3039,1033813,173961,15648,30.031088730465395,16.827124441267426,79.38714423418396
coverage,accent,Sønderjylland,5916,7.640984444444445,6,57479,16880,9592,6521,767,309385,52081,4668,29.367247168531115,16.83371850606849,78.90466531440163,57479,16413,9216,6368,829,309385,52232,4627,28.554776527079454,16.88252500929263,78.21162947937796
coverage,accent,Vest- og Sydsjælland,5915,9.244433333333333,6,57707,17784,9785,7234,765,310542,51026,4705,30.817751745888714,16.43127177644248,79.54353338968724,57707,17195,9458,6920,817,310542,50961,4660,29.797078344048384,16.41034063025291,78.78275570583263
coverage,accent,Vestjylland,4930,6.863033333333333,5,47987,14657,8245,5709,703,258891,42788,3902,30.543688915748014,16.527418875125054,79.14807302231237,47987,14201,8079,5362,760,258891,43129,3915,29.59343155437931,16.659134539246246,79.41176470588235
coverage,accent,Østjylland,6442,8.90998,7,63029,21069,11917,8072,1080,338841,60681,5343,33.42746989481032,17.908399514816683,82.9400807202732,63029,20910,11723,8004,1183,338841,61012,5331,33.175205064335465,18.006085450107868,82.75380316671841
coverage,duration_seconds,under_5,57353,54.49420897569444,,301943,95504,59338,29411,6755,1734398,337003,35513,31.62981092457848,19.430545930057576,61.9200390563702,301943,94417,57843,29338,7236,1734398,330456,34491,31.269809202399127,19.053066251229534,60.138092166059316
coverage,duration_seconds,5_to_15,43319,87.46005789930555,,630335,131178,77087,47476,6615,3636465,359802,33877,20.810838681018822,9.894279196967384,78.2035596389575,630335,126888,73680,46945,6263,3636465,368935,33234,20.13024820135325,10.14542969614722,76.71922251206168
coverage,duration_seconds,15_to_30,1634,8.788128107638888,,68597,7020,4005,1745,1270,455650,23486,1405,10.233683688791055,5.154394820585976,85.98531211750306,68597,6894,3902,1730,1262,455650,23270,1402,10.05000218668455,5.106990014265335,85.80171358629131
coverage,duration_seconds,30_and_over,39,0.39235928819444443,,3195,470,341,94,35,21380,2135,35,14.710485133020343,9.985968194574369,89.74358974358974,3195,451,327,94,30,21380,2050,36,14.115805946791863,9.588400374181479,92.3076923076923
followup,lang,el,230,0.11232479166666667,12,1131,1087,757,230,100,5811,4143,229,96.10963748894784,71.29581827568404,99.56521739130434,1131,1059,753,235,71,5811,4205,229,93.63395225464191,72.36276028222336,99.56521739130434
followup,lang,it,1257,4.457126510416667,,39676,4754,1620,2330,804,250418,21897,907,11.982054642605101,8.74417973148895,72.15592680986475,39676,4749,1629,2259,861,250418,21724,906,11.969452565782841,8.675095240757454,72.0763723150358
followup,source,lesbos,230,0.11232479166666667,12,1131,1087,757,230,100,5811,4143,229,96.10963748894784,71.29581827568404,99.56521739130434,1131,1059,753,235,71,5811,4205,229,93.63395225464191,72.36276028222336,99.56521739130434
followup,source,voxpopuli,1257,4.457126510416667,,39676,4754,1620,2330,804,250418,21897,907,11.982054642605101,8.74417973148895,72.15592680986475,39676,4749,1629,2259,861,250418,21724,906,11.969452565782841,8.675095240757454,72.0763723150358
followup,gender,female,413,1.4288866145833334,19,12906,1453,531,695,227,82027,6729,292,11.25832945916628,8.203396442634743,70.70217917675545,12906,1438,527,688,223,82027,6599,289,11.142104447543778,8.04491204115718,69.97578692493947
followup,gender,male,844,3.028239895833333,,26770,3301,1089,1635,577,168391,15168,615,12.33096750093388,9.007607294926688,72.86729857819905,26770,3311,1102,1571,638,168391,15125,617,12.368322749346284,8.982071488381209,73.10426540284361
followup,accent,None,1257,4.457126510416667,,39676,4754,1620,2330,804,250418,21897,907,11.982054642605101,8.74417973148895,72.15592680986475,39676,4749,1629,2259,861,250418,21724,906,11.969452565782841,8.675095240757454,72.0763723150358
followup,duration_seconds,under_5,389,0.25062234375,,2583,1460,859,488,113,14422,6057,310,56.52342237708091,41.99833587574539,79.69151670951157,2583,1453,856,499,98,14422,6182,311,56.252419667053815,42.86506725835529,79.94858611825192
followup,duration_seconds,5_to_15,638,1.7430575173611111,,16132,2052,712,1084,256,100734,9242,421,12.720059509050335,9.174658010205095,65.98746081504702,16132,2027,748,1007,272,100734,9004,423,12.56508802380362,8.938392201242877,66.30094043887148
followup,duration_seconds,15_to_30,449,2.4670134722222223,,21175,2235,767,957,511,135086,10358,394,10.554899645808737,7.667707978621027,87.75055679287306,21175,2239,738,957,544,135086,10389,390,10.57378984651712,7.690656322638912,86.8596881959911
followup,duration_seconds,30_and_over,11,0.10875796875,10,917,94,39,31,24,5987,383,11,10.25081788440567,6.397193920160348,100.0,917,89,40,31,18,5987,354,11,9.70556161395856,5.9128110906965095,100.0
